edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
48,-6.322503625000197,106.81118267499915,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,752.9465501981269,False,
49,-6.326566725000137,106.82001015000006,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4345.676262700459,False,
50,-6.326566725000137,106.82001015000006,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4345.676262700459,False,
51,-6.316026466668259,106.81641046666735,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3665.198587177804,False,
52,-6.316026466668259,106.81641046666735,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3665.198587177804,False,
53,-6.312570300000008,106.81626035,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3941.4124094139906,False,
54,-6.312717545000417,106.79342448500022,FRC2,19,19,1.0,-6.311925749488353,106.79347692215663,88.2341761536714,True,
55,-6.317951299999997,106.81599885,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3480.90620646859,False,
56,-6.317951299999997,106.81599885,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3480.90620646859,False,
57,-6.327091049999997,106.81172480000001,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4078.4380862024545,False,
58,-6.327091049999997,106.81172480000001,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4078.4380862024545,False,
59,-6.3265775250001415,106.82055935000005,FRC3,19,25,0.98,-6.331111567421532,106.83461932624567,1633.6131475262862,False,
60,-6.3265775250001415,106.82055935000005,FRC3,19,25,0.98,-6.331111567421532,106.83461932624567,1633.6131475262862,False,
61,-6.309531449999993,106.80355,FRC5,22,25,0.842904,-6.310465306851438,106.8034614452169,104.30035753386491,False,
62,-6.309531449999993,106.80355,FRC5,22,25,0.842904,-6.310465306851438,106.8034614452169,104.30035753386491,False,
63,-6.314422049999992,106.8163313,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,3790.374319595493,False,
64,-6.342185424999912,106.80450280000005,FRC3,23,29,0.987484,-6.328264430896644,106.809446794635,1641.5457303407236,False,
65,-6.342185424999912,106.80450280000005,FRC3,23,29,0.987484,-6.328264430896644,106.809446794635,1641.5457303407236,False,
66,-6.315682399999997,106.79240874999999,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,76.85773748097219,True,
67,-6.315682399999997,106.79240874999999,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,76.85773748097219,True,
68,-6.320977425000158,106.81100092499952,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,586.1967617368972,False,
69,-6.320977425000158,106.81100092499952,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,586.1967617368972,False,
70,-6.3271144750010375,106.81270440000026,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4090.8635892222464,False,
71,-6.3271144750010375,106.81270440000026,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4090.8635892222464,False,
72,-6.343948012500399,106.80413485000011,FRC3,22,31,0.99,-6.344409992893542,106.80400459254253,53.34873879510851,True,
73,-6.310309116666682,106.78106104999942,FRC2,21,28,0.997837,-6.299326068067785,106.77841765963899,1255.718157151272,False,
74,-6.310309116666682,106.78106104999942,FRC2,21,28,0.997837,-6.299326068067785,106.77841765963899,1255.718157151272,False,
75,-6.317718950000007,106.81145939999999,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,1037.4680385421948,False,
76,-6.317718950000007,106.81145939999999,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,1037.4680385421948,False,
77,-6.314697849999996,106.7820349,FRC3,21,31,1.0,-6.341546768354284,106.77946640336404,2998.928291094878,False,
