index,x_m,y_m
590,698831.084688525,9310699.918218272
591,698781.084345174,9310700.86271065
592,698753.6494780292,9310701.387470486
593,698726.203508983,9310701.901195321
594,699850.3859894163,9311404.167463202
595,698861.5846522088,9308759.428709453
596,700219.4258453384,9311035.937737502
597,696682.7180089168,9304606.609612573
598,700917.2755928718,9304104.735353552
599,697272.3082927373,9310082.811523952
600,697292.7493012467,9310128.452137934
601,697313.2013632831,9310174.081656132
602,699223.0507510018,9310748.533281527
603,699218.72990138,9310784.520060081
604,698600.5613730169,9304252.56597037
605,696783.0955696206,9309099.699387556
606,700492.8327918375,9311464.52744067
607,696201.7550285462,9306276.737146134
608,697150.425803509,9309289.432138728
609,698547.2676292124,9303499.42544189
610,698544.8116505806,9303483.540949231
611,697123.0767151306,9308160.874648228
612,696983.3936939614,9310465.565884035
613,697087.4945478097,9307135.860117102
614,700067.9074927103,9307268.763495915
615,695911.5451856399,9310147.176292092
616,697305.2980698603,9310365.153767452
617,696923.4010003477,9311033.514504194
618,698573.0609209068,9310679.16370019
619,698545.5059477172,9310670.398564003
620,696379.2847983263,9307070.90075634
621,696389.753782958,9307144.45361993
622,697337.0226419836,9307320.882272273
623,700053.2620637693,9305811.705199746
624,698122.4397594063,9308318.375753427
625,694952.297768211,9310203.109579958
626,696589.6351272666,9305912.621660886
627,695403.198209826,9307175.538877528
628,695594.1666059276,9307897.331143243
629,695590.4241060402,9307853.781461341
630,695588.6885328197,9307814.890607493
631,697767.8900779601,9309845.748605102
632,694247.7292269344,9310424.69745647
633,697341.6087641385,9310225.606733905
634,695645.5633922707,9306317.94704303
635,695697.6609500636,9306311.807360753
636,696371.2763753445,9307009.902435483
637,696652.5288648349,9308066.187786886
638,697112.3228732365,9307163.111289231
639,698883.0459712468,9311004.936118038
640,698882.8203286962,9310954.935573943
641,698882.6249550236,9310910.575419223
642,701621.7659479068,9304036.951384092
643,695446.6492954509,9307471.839541739
644,699974.2350842388,9310003.820843682
645,699403.4794844445,9304141.806913232
646,698677.1034590192,9304958.663243782
647,698178.9010557156,9308551.323185267
648,695369.2227256374,9310186.797299497
649,699856.1438121808,9304088.273513483
650,701593.0343103879,9303937.744133867
651,701603.4837441946,9303963.88663295
652,696380.3377165041,9306754.070838932
