from,to,distance
682,960,75.13
300,851,31.45
272,2298,31.07
636,620,57.7
984,985,197.31
985,860,197.32
986,263,125.12
622,667,33.2
987,209,28.11
988,1555,39.53
989,198,34.54
693,990,62.69
990,693,62.69
991,992,35.92
992,425,40.69
995,912,22.81
996,511,127.9
419,956,58.97
633,550,30.27
997,145,26.33
682,687,40.03
998,379,101.55
999,515,18.28
1000,1884,138.67
1001,917,28.77
1002,1056,36.62
1003,441,76.12
766,1004,45.67
1004,1120,45.67
1005,1169,97.38
1006,779,57.66
1007,708,71.81
1008,1009,35.57
1009,1615,35.57
948,1010,36.95
1010,948,36.95
1010,1011,36.95
1011,1010,36.95
1012,654,58.56
499,1595,28.99
771,1013,27.86
1013,1621,27.87
1014,1127,57.56
553,567,17.37
979,1015,126.68
1015,979,126.68
1016,1242,38.99
1017,958,106.03
202,329,32.7
329,202,32.7
1018,817,18.09
1019,805,81.64
1020,199,57.46
1021,339,20.56
994,1085,15.51
425,2298,18.9
1022,4247,28.97
216,981,57.18
1023,722,67.05
1024,1025,50.0
1025,1024,50.0
1025,1026,50.0
1026,1025,50.0
1026,1027,43.11
1027,1026,43.11
1027,941,43.11
941,1027,43.11
884,933,17.16
543,4248,38.23
1028,1063,15.29
1029,675,26.18
1030,4253,108.75
312,157,45.01
1031,835,67.91
593,705,20.54
705,593,20.54
1032,209,94.16
497,783,67.62
383,2248,174.19
637,199,57.34
806,534,16.06
483,1697,28.35
594,342,24.08
1034,1314,35.56
1023,1035,50.0
1035,1036,30.54
1036,1167,30.54
903,1037,51.34
1037,903,51.34
231,599,17.96
550,1038,30.48
1038,991,30.48
1039,802,24.47
305,1040,33.51
1040,305,33.51
1040,945,33.51
945,1040,33.51
682,940,61.73
1041,307,57.46
278,950,17.87
743,1042,36.1
1042,743,36.1
1042,662,36.1
662,1042,36.1
862,358,40.28
358,862,40.28
196,480,32.05
918,197,112.33
163,767,52.31
1043,259,31.69
1044,2321,20.68
1045,1046,37.09
1046,1045,37.09
1047,965,63.33
568,1761,188.36
1048,535,84.75
427,996,55.05
1049,1050,40.99
1050,2325,37.76
1051,1143,43.69
314,247,36.72
1052,1146,95.62
282,440,25.26
440,282,25.26
814,184,17.6
1053,1054,200.0
1054,1055,166.01
1055,1964,166.01
155,332,47.84
1056,1812,25.94
425,272,32.84
1058,1059,50.0
1059,1060,28.3
1060,378,28.31
1061,540,18.18
1062,668,30.78
488,783,37.14
1063,986,65.07
1064,341,15.77
1041,900,17.01
1065,1066,39.18
1066,1065,39.18
1067,1007,111.11
1007,875,111.12
758,1222,19.45
233,1226,83.0
1069,1020,38.53
1070,1523,69.08
1071,1072,36.92
