segmentId,edge_idx
1336437898965778433,907
1336437898980261888,908
1336437898982588418,909
1336437898982588419,910
1336437898982653954,911
1336437898982653956,912
1336437898987208706,913
1336437898987208708,914
1336437898987208710,915
1336437898987208712,916
1336437898987274240,917
1336437898991075328,918
1336437898992254976,919
1336437898992320512,920
1336437898994450432,921
1336437898994614272,922
1336437899001921536,923
1336437899002019840,924
1336437899002052608,925
1336437899002085376,926
1336437899002281984,927
1336437899002413056,928
1336437899006607362,929
1336437899006607363,930
1336437899006607364,931
1336437899006607365,932
1336437899007688704,933
1336437899012538368,934
1336437899012800512,935
1336437899012898816,936
1336437899013652480,937
1336437899013685248,938
1336437899020959746,939
1336437899020959748,940
1336437899021189122,941
1336437899021189124,942
1336437899024400384,943
1336437899024564224,944
1336437899024662528,945
1336437899027185664,946
1336437899030593536,947
1336437899030593537,948
1336437899031871488,949
1336437899032035328,950
1336437899037704192,951
1336437899038294016,952
1336437899038294017,953
1336437899038490624,954
1336437899044749312,955
1336437899044749313,956
1336437899050024962,957
1336437899050024964,958
1336437899050024966,959
1336437899052187648,960
1336437899059658752,961
1336437899059658753,962
1336437899061526528,963
1336437899061559296,964
1336437899064606720,965
1336437899065491456,966
1336437899065688064,967
1336437899065688065,968
1336437899068801024,969
1336437899072471040,970
1336437899072569344,971
1336437899073355776,972
1336437899073355777,973
1336437899074142208,974
1336437899074142209,975
1336437899074535426,976
1336437899074535428,977
1336437899076370432,978
1336437899078893568,979
1336437899079155714,980
1336437899079155716,981
1336437899079155718,982
1336437899080237056,983
1336437899081580544,984
1336437899082268672,985
1336437899082334208,986
1336437899087151104,987
1336437899087183872,988
1336437899088199680,989
1336437899090132992,990
1336437899091542016,991
1336437899095310336,992
1336437899095506944,993
1336437899097341952,994
1336437899097604098,995
1336437899097604100,996
1336437899099144192,997
1336437899099242496,998
1336437899101929472,999
1336437899104190464,1000
1336437899104190465,1001
1336437899109138434,1002
1336437899109138436,1003
1336437899109138438,1004
1336437899110612992,1005
1336437899116871682,1006
1336437899116871683,1007
1336437899116871684,1008
1336437899116871685,1009
1336437899118116864,1010
1336437899119820800,1011
1336437899119820801,1012
1336437899121917952,1013
1336437899124342784,1014
1336437899124342785,1015
1336437899126964224,1016
1336437899127062528,1017
1336437899127488512,1018
1336437899129192448,1019
1336437899129290754,1020
1336437899129290756,1021
1336437899134468096,1022
1336437899135156224,1023
1336437899136925696,1024
1336437899136958464,1025
1336437899136991232,1026
1336437899137056768,1027
1336437899139448832,1028
1336437899141578752,1029
1336437899141578753,1030
1336437899142070272,1031
1336437899142103040,1032
1336437899143020544,1033
1336437899143446528,1034
1336437899143479298,1035
1336437899143479300,1036
1336437899143479302,1037
1336437899143479304,1038
1336437899145576448,1039
1336437899145576449,1040
1336437899145838592,1041
1336437899148525568,1042
1336437899148525569,1043
1336437899149967360,1044
1336437899153702912,1045
1336437899153801216,1046
1336437899155800064,1047
1336437899155832832,1048
1336437899155832833,1049
1336437899155898368,1050
1336437899155898369,1051
1336437899155963904,1052
1336437899164254208,1053
1336437899164516352,1054
1336437899167760384,1055
1336437899168120832,1056
1336437899176443904,1057
1336437899176443905,1058
1336437899178409984,1059
1336437899181064192,1060
1336437899182145536,1061
1336437899183718400,1062
1336437899184406528,1063
1336437899187978240,1064
1336437899190468608,1065
1336437899192598528,1066
1336437899195154434,1067
1336437899195154436,1068
1336437899196203008,1069
1336437899196268544,1070
1336437899197546496,1071
1336437899199381504,1072
1336437899202199552,1073
1336437899203379202,1074
1336437899203379204,1075
1336437899204591618,1076
1336437899204591620,1077
1336437899205607424,1078
1336437899206524928,1079
1336437899210883072,1080
1336437899210915840,1081
1336437899212062720,1082
1336437899213832192,1083
1336437899216093184,1084
1336437899216191488,1085
1336437899218223104,1086
1336437899218649088,1087
1336437899220353024,1088
1336437899220385792,1089
1336437899225792514,1090
1336437899225792515,1091
1336437899225792516,1092
1336437899225792517,1093
1336437899225858048,1094
1336437899227004928,1095
1336437899234148352,1096
1336437899235491840,1097
1336437899235655680,1098
1336437899238866944,1099
1336437899238866945,1100
1336437899242078208,1101
1336437899242078209,1102
1336437899245977600,1103
1336437899245977601,1104
1336437899246043136,1105
1336437899248500736,1106
1336437899248500737,1107
1336437899249876992,1108
1336437899250401280,1109
1336437899250434048,1110
1336437899252432898,1111
1336437899252432899,1112
1336437899252432900,1113
1336437899252432901,1114
1336437899252793344,1115
1336437899255283712,1116
1336437899255283713,1117
1336437899255840768,1118
1336437899261083648,1119
1336437899261214720,1120
1336437899263115264,1121
1336437899263148032,1122
1336437899263148033,1123
1336437899264196608,1124
1336437899268620288,1125
1336437899269439488,1126
1336437899270651904,1127
1336437899272323072,1128
1336437899275206656,1129
1336437899279597568,1130
1336437899279794176,1131
1336437899279826944,1132
1336437899287068672,1133
1336437899287363584,1134
1336437899294474240,1135
1336437899302109186,1136
1336437899302109188,1137
1336437899302141952,1138
1336437899307712512,1139
1336437899307778048,1140
1336437899307778049,1141
1336437899309318144,1142
1336437899311579136,1143
1336437899313872896,1144
1336437899313872897,1145
1336437899314200576,1146
1336437899315806208,1147
1336437899322556416,1148
1336437899322589184,1149
1336437899322621952,1150
1336437899329536000,1151
1336437899331764224,1152
1336437899331796994,1153
1336437899331796996,1154
1336437899331796998,1155
1336437899331797000,1156
1336437899336810496,1157
1336437899337760770,1158
1336437899337760771,1159
1336437899337760772,1160
1336437899337760773,1161
1336437899337760774,1162
1336437899337760775,1163
1336437899339235328,1164
1336437899345362944,1165
1336437899349655552,1166
1336437899349688322,1167
1336437899349688324,1168
1336437899351949312,1169
1336437899354537984,1170
1336437899357487104,1171
1336437899361943552,1172
1336437899365285888,1173
1336437899369086976,1174
1336437899369152512,1175
1336437899371708416,1176
1336437899372658688,1177
1336437899375902720,1178
1336437899379441664,1179
1336437899382652930,1180
1336437899382652932,1181
1336437899382718464,1182
1336437899386880000,1183
1336437899389763584,1184
1336437899392385024,1185
1336437899393236992,1186
1336437899394449408,1187
1336437899394449409,1188
1336437899396349954,1189
1336437899396349956,1190
1336437899399725056,1191
1336437899402215424,1192
1336437899402969088,1193
1336437899404115968,1194
1336437899407097856,1195
1336437899407294464,1196
1336437899409522688,1197
1336437899412275200,1198
1336437899412340736,1199
1336437899412439040,1200
1336437899417878528,1201
1336437899419090944,1202
1336437899419648002,1203
1336437899419648004,1204
1336437899419779072,1205
1336437899423023104,1206
1336437899425251328,1207
1336437899425710082,1208
1336437899425710084,1209
1336437899426004994,1210
1336437899426004995,1211
1336437899426004996,1212
1336437899426004997,1213
1336437899427414016,1214
1336437899427610624,1215
1336437899430100994,1216
1336437899430100996,1217
1336437899433508864,1218
1336437899439702016,1219
1336437899441209344,1220
1336437899441209345,1221
1336437899441766400,1222
1336437899442814976,1223
1336437899446190080,1224
1336437899446190081,1225
1336437899447173120,1226
1336437899448025088,1227
1336437899448057856,1228
1336437899448614916,1229
1336437899452710912,1230
1336437899457265664,1231
1336437899459559424,1232
1336437899459952640,1233
1336437899462967296,1234
1336437899463819266,1235
1336437899463819267,1236
1336437899463819268,1237
1336437899463819269,1238
1336437899463819270,1239
1336437899463819271,1240
1336437899463819272,1241
1336437899463819273,1242
1336437899464867840,1243
1336437899465261056,1244
1336437899465424896,1245
1336437899470209024,1246
1336437899470536704,1247
1336437899472601088,1248
1336437899472633856,1249
1336437899473354752,1250
1336437899473354753,1251
1336437899473387520,1252
1336437899473485824,1253
1336437899475812352,1254
1336437899478630400,1255
1336437899481284608,1256
1336437899488722944,1257
1336437899489116160,1258
1336437899491934208,1259
1336437899494227970,1260
1336437899494227972,1261
1336437899494227974,1262
1336437899494260736,1263
1336437899494260737,1264
1336437899496062976,1265
1336437899496128514,1266
1336437899496128516,1267
1336437899496325120,1268
1336437899498979330,1269
1336437899498979331,1270
1336437899498979332,1271
1336437899498979333,1272
1336437899499536384,1273
1336437899500322816,1274
1336437899500421120,1275
1336437899501240322,1276
1336437899501240323,1277
1336437899501240324,1278
1336437899501240325,1279
1336437899501273088,1280
1336437899501273089,1281
1336437899503534080,1282
1336437899506909184,1283
1336437899510087680,1284
1336437899510415360,1285
1336437899512414208,1286
1336437899516837888,1287
1336437899516837889,1288
1336437899517427712,1289
1336437899517755392,1290
1336437899519229952,1291
1336437899524112384,1292
1336437899524636674,1293
1336437899524636676,1294
1336437899526373376,1295
1336437899528634368,1296
1336437899531157504,1297
1336437899531911168,1298
1336437899531911169,1299
1336437899535712256,1300
1336437899536138242,1301
1336437899536138244,1302
1336437899536138246,1303
1336437899537154048,1304
1336437899539218432,1305
1336437899540430848,1306
1336437899544920066,1307
1336437899544920068,1308
1336437899544920070,1309
1336437899546198016,1310
1336437899546886144,1311
1336437899548196864,1312
1336437899548295168,1313
1336437899554750464,1314
1336437899565531136,1315
1336437899565629440,1316
1336437899565629441,1317
1336437899566481410,1318
1336437899566481412,1319
1336437899566579712,1320
1336437899568807936,1321
1336437899573526528,1322
1336437899573985280,1323
1336437899576377346,1324
1336437899576377348,1325
1336437899579031554,1326
1336437899579031556,1327
1336437899579949056,1328
1336437899579949057,1329
1336437899582177282,1330
1336437899582177283,1331
1336437899582177284,1332
1336437899582177285,1333
1336437899582242816,1334
1336437899589451776,1335
1336437899590991872,1336
1336437899593842690,1337
1336437899593842692,1338
1336437899596660736,1339
1336437899597119488,1340
1336437899598299136,1341
1336437899603017728,1342
1336437899603017729,1343
1336437899606294528,1344
1336437899606720512,1345
1336437899609407488,1346
1336437899609440256,1347
1336437899609473024,1348
1336437899610521600,1349
1336437899612061696,1350
1336437899612749826,1351
1336437899612749827,1352
1336437899612749828,1353
1336437899612749829,1354
1336437899620876288,1355
1336437899623890944,1356
1336437899623890945,1357
1336437899625070592,1358
1336437899627233282,1359
