edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
957,-6.292058250000082,106.81155879999947,FRC2,52.0,52.0,1.0,-6.292084122434179,106.81130154216925,28.578618478019745,True,
976,-6.2457565147066205,106.79451217352948,FRC4,16.0,16.0,1.0,-6.245706005782692,106.79432718241458,21.205260269209287,True,
988,-6.294218849999989,106.8226679,FRC2,25.0,25.0,1.0,-6.29423528842586,106.82267142618603,1.868956113648794,True,
990,-6.241890913337072,106.79273251333534,FRC4,22.0,22.0,1.0,-6.241956273839173,106.79290158832282,20.052244810121067,True,
1006,-6.299490280000094,106.77476236000066,FRC3,30.0,30.0,1.0,-6.29929790828891,106.77479935967705,21.778135941589728,True,
1016,-6.262055649999983,106.7668913,FRC2,11.0,11.0,1.0,-6.262180161277212,106.7669874259194,17.4520472532349,True,
1031,-6.241326635715739,106.78779995476188,FRC3,15.0,19.0,1.0,-6.240747935061266,106.7878737875232,64.86404291692966,True,
1041,-6.292446285001523,106.79389103500051,FRC1,34.0,34.0,1.0,-6.292514606287137,106.79397849524253,12.294559597354368,True,
1071,-6.24038067,106.78275588999986,FRC3,30.0,30.0,1.0,-6.240532046905928,106.7827762492892,16.98211592308836,True,
1078,-6.245886925002121,106.79831727500049,FRC4,18.0,18.0,1.0,-6.24587098237305,106.79855568492752,26.412174298062936,True,
1105,-6.2926848850017,106.79489043500116,FRC2,9.0,22.0,0.99,-6.292835115322502,106.79513318622372,31.60545146948349,True,
1126,-6.260915200000003,106.76633645,FRC7,29.0,29.0,1.0,-6.260938291625388,106.76637722336837,5.186880994891715,True,
1187,-6.277188658335089,106.7979691083345,FRC4,14.0,28.0,0.989057,-6.277089198500219,106.7975833841594,44.04452449614956,True,
1196,-6.292460375001433,106.79544410000042,FRC1,7.0,14.0,1.0,-6.292469033502089,106.79572461331162,31.018684505668368,True,
1215,-6.227086299999986,106.80819525,FRC4,26.0,32.0,1.0,-6.227123726791138,106.808408779746,23.967411202336184,True,
1223,-6.238433114287991,106.77908082142682,FRC3,18.0,18.0,1.0,-6.238497644544233,106.77955089294808,52.45314744419491,True,
